open,high,low,close,volume
1672.9150390625,1672.9150390625,1672.9150390625,1672.9150390625,0
1670.0,1672.6341552734375,1670.0,1671.56005859375,3578
1672.5899658203125,1672.5899658203125,1669.199951171875,1670.260009765625,4222
1675.8175048828125,1678.239990234375,1671.6600341796875,1671.6600341796875,10124
1672.20458984375,1677.25,1672.20458984375,1676.4599609375,15021
1672.8299560546875,1673.1800537109375,1672.445556640625,1673.0,5667
1672.489990234375,1674.0,1671.0,1672.43994140625,3616
1673.4000244140625,1674.5,1671.77001953125,1671.77001953125,3316
1672.3896484375,1675.6949462890625,1672.3896484375,1674.8499755859375,6011
1671.2137451171875,1674.3699951171875,1671.2137451171875,1672.3299560546875,12503
1674.969970703125,1676.0,1674.8900146484375,1676.0,1683
1675.6099853515625,1676.5699462890625,1674.0,1675.800048828125,8983
1677.6435546875,1678.5633544921875,1674.0,1674.8399658203125,9044
1680.280029296875,1681.5777587890625,1676.0,1676.0,8683
1680.56005859375,1681.449951171875,1679.8699951171875,1681.030029296875,6594
1679.77197265625,1681.25,1679.3900146484375,1681.25,4873
1682.06005859375,1682.3974609375,1679.9000244140625,1681.1114501953125,8926
1680.466552734375,1682.93994140625,1679.3599853515625,1681.4200439453125,9206
1681.77001953125,1682.2099609375,1677.8399658203125,1681.4100341796875,8132
1683.2669677734375,1683.9100341796875,1681.5899658203125,1681.8575439453125,5260
1681.25439453125,1684.0699462890625,1680.8900146484375,1683.3399658203125,4323
1684.1400146484375,1684.510009765625,1680.800048828125,1680.8599853515625,6435
1681.219970703125,1684.989990234375,1680.780029296875,1683.6300048828125,10195
1681.469970703125,1683.6400146484375,1680.5579833984375,1681.9849853515625,6936
1679.1199951171875,1680.8699951171875,1678.135009765625,1680.4100341796875,5221
1678.260009765625,1680.4300537109375,1678.260009765625,1679.280029296875,5490
1675.510009765625,1678.25,1675.510009765625,1678.25,2968
1676.18994140625,1677.2149658203125,1675.9200439453125,1676.8499755859375,5530
1674.1800537109375,1677.0,1674.1300048828125,1675.530029296875,4934
1674.949951171875,1677.3599853515625,1673.989990234375,1673.989990234375,6678
1676.25,1676.989990234375,1674.75,1674.7650146484375,8344
1679.1300048828125,1679.1300048828125,1677.9652099609375,1677.9652099609375,4674
1677.0,1679.6099853515625,1676.53857421875,1679.6099853515625,11737
1675.489990234375,1677.300048828125,1675.3900146484375,1677.0899658203125,4117
1678.4599609375,1678.9100341796875,1674.3299560546875,1674.75,10616
1678.43994140625,1678.43994140625,1677.050048828125,1678.06005859375,3017
1678.6500244140625,1679.469970703125,1677.0,1677.6700439453125,8701
1675.699951171875,1679.989990234375,1675.699951171875,1677.6600341796875,6181
1672.3599853515625,1675.550048828125,1671.4300537109375,1675.550048828125,7978
1673.775390625,1673.969970703125,1671.0,1672.1199951171875,43328
1659.7325439453125,1661.97998046875,1659.7325439453125,1660.7099609375,21478
1658.47998046875,1660.0400390625,1658.16015625,1659.75,10732
1656.4000244140625,1658.800048828125,1656.4000244140625,1658.530029296875,7059
1655.0699462890625,1657.5699462890625,1654.280029296875,1656.6700439453125,7798
1654.0799560546875,1655.5400390625,1653.199951171875,1655.5400390625,6582
1655.4000244140625,1655.6600341796875,1653.4949951171875,1653.77880859375,8967
1655.2900390625,1655.300048828125,1653.5999755859375,1653.9849853515625,5480
1655.6600341796875,1655.6600341796875,1653.380126953125,1655.4000244140625,5573
1656.43994140625,1656.449951171875,1655.1600341796875,1656.1800537109375,3604
1656.0,1657.5699462890625,1655.699951171875,1655.780029296875,5259
1659.6099853515625,1659.6099853515625,1657.699951171875,1657.699951171875,4993
1659.4300537109375,1660.719970703125,1659.02001953125,1660.6600341796875,3729
1660.8837890625,1661.0699462890625,1660.1800537109375,1660.280029296875,2607
1660.6600341796875,1660.6600341796875,1660.5,1660.5,1142
1660.8199462890625,1661.22998046875,1660.550048828125,1660.828857421875,1941
1662.3751220703125,1662.3751220703125,1661.010009765625,1661.010009765625,5530
1661.75,1662.0400390625,1661.47998046875,1661.956787109375,2359
1660.43994140625,1661.56005859375,1660.43994140625,1661.56005859375,2602
1660.4100341796875,1660.4100341796875,1659.6700439453125,1659.6700439453125,2139
1659.5400390625,1660.239990234375,1659.5400390625,1660.0999755859375,2805
1659.9000244140625,1660.3299560546875,1659.3800048828125,1659.3800048828125,3171
1659.7900390625,1660.0,1659.7900390625,1660.0,1603
1659.010009765625,1660.1099853515625,1658.8349609375,1660.1099853515625,4574
1658.6400146484375,1658.875,1658.6400146484375,1658.875,1150
1657.199951171875,1658.6700439453125,1657.199951171875,1658.4000244140625,4486
1659.2703857421875,1659.2703857421875,1656.7750244140625,1657.2249755859375,2877
1659.4599609375,1659.4599609375,1658.3900146484375,1659.06005859375,2663
1659.3800048828125,1660.02001953125,1659.0,1659.4200439453125,3056
1661.0699462890625,1661.0699462890625,1660.0,1660.0,4391
1661.6400146484375,1661.6400146484375,1660.780029296875,1660.780029296875,4182
1660.8599853515625,1661.280029296875,1660.8599853515625,1661.280029296875,1364
1661.14794921875,1662.0999755859375,1661.1400146484375,1661.93994140625,4363
1661.3299560546875,1661.6600341796875,1661.1199951171875,1661.3900146484375,3571
1661.5899658203125,1661.8399658203125,1661.1500244140625,1661.300048828125,2112
1661.9100341796875,1662.0369873046875,1661.6099853515625,1661.6099853515625,1993
1661.8399658203125,1661.8399658203125,1660.9300537109375,1661.752197265625,2457
1661.030029296875,1661.550048828125,1661.030029296875,1661.3271484375,2781
1661.06005859375,1661.4300537109375,1661.0400390625,1661.0400390625,18803
